Echt,Limons grossiers/Loess (22),Sables Fin (71),Limons grossiers/Loess (45),Limons fins (11),Sables Grossiers (112),Limons grossiers/Loess (36),Sables Grossiers (160)
ACG-LP,2.5378,1.1379,9.6572,86.6671,0.0000,0.0001,0.0000
ACG-RM,11.4773,0.5076,15.1296,72.8835,0.0000,0.0021,0.0000
AML-LY,0.2856,18.0640,12.1602,65.9774,0.7626,2.7502,0.0000
AML-PT,47.0445,0.0000,1.1327,14.5942,0.0000,37.2287,0.0000
AND-LN,2.1938,14.4601,27.6519,50.5962,0.0003,5.0977,0.0000
ARB-CH,5.5666,10.4227,13.2458,70.5906,0.0007,0.1737,0.0000
AUC-BF1,0.0428,25.9123,43.8820,25.6874,0.6747,3.8008,0.0000
AUC-BF2,0.0465,15.2499,53.2928,28.1336,0.0000,3.2772,0.0000
AUC-BF3,11.3304,18.2185,27.1222,40.2833,2.8603,0.0095,0.1758
AUC-BF4,0.5376,25.1761,40.4226,30.6696,1.2834,1.9107,0.0000
AVL-NS,13.1999,6.5563,2.0292,78.2146,0.0000,0.0001,0.0000
BAI-LB,7.4738,4.1108,8.8635,79.5465,0.0001,0.0052,0.0000
BAI-VL,0.0014,1.8091,4.7252,93.0351,0.0000,0.4292,0.0000
BAU-LM,8.0503,19.6212,31.0857,37.9840,1.4639,1.7950,0.0000
BBT-BG,5.5008,26.0387,39.3012,25.8052,1.3665,1.9876,0.0000
BBT-LG,2.6974,35.6384,24.2576,22.1158,6.8647,1.1452,7.2809
BED-BD,7.3557,0.9372,50.8242,40.5660,0.0000,0.3169,0.0000
BED-GR,3.3964,0.7106,43.9564,50.6391,0.0000,1.2975,0.0000
BED-LB1,3.0384,0.4705,44.8399,50.6044,0.0000,1.0468,0.0000
BED-LB10,0.7745,4.6941,41.4229,51.2277,0.0000,1.8808,0.0000
BED-LB11,4.3233,1.0481,29.6021,64.9059,0.0000,0.1206,0.0000
BED-LB12,2.1095,0.8031,35.4416,61.4002,0.0000,0.2456,0.0000
BED-LB13,1.5435,1.1250,26.0453,71.2621,0.0000,0.0241,0.0000
BED-LB14,1.5136,1.2156,48.5394,46.0970,0.0000,2.6346,0.0000
BED-LB2,1.4273,1.0829,42.8853,53.5723,0.0000,1.0323,0.0000
BED-LB3,6.4080,0.8629,41.6955,50.8702,0.0000,0.1634,0.0000
BED-LB4,1.9292,1.3273,45.7818,49.9620,0.0000,0.9997,0.0000
BED-LB5,0.6586,1.4681,43.5082,51.9745,0.0000,2.3906,0.0000
BED-LB6,0.5812,1.3429,46.1227,49.6649,0.0000,2.2882,0.0000
BED-LB7,0.4713,1.4200,43.9721,52.2121,0.0000,1.9245,0.0000
BED-LB8,0.5757,1.7125,50.2382,44.5290,0.0000,2.9446,0.0000
BED-LB9,0.5159,1.5495,47.9276,47.7826,0.0000,2.2244,0.0000
BED-LH,6.2000,11.6879,15.6569,65.4193,0.9725,0.0634,0.0000
BED-LR,5.5569,6.4344,38.6612,48.5485,0.0000,0.7990,0.0000
BED-LT1,3.4044,0.9900,52.2053,42.7087,0.0000,0.6917,0.0000
BED-LT2,7.0922,1.2189,50.9561,40.2765,0.0000,0.4563,0.0000
BED-MJ1,5.3595,6.7893,41.6089,44.5054,0.0000,1.7369,0.0000
BED-MJ2,26.2296,5.3442,10.1068,58.3192,0.0000,0.0001,0.0000
BER-GH,6.3431,14.0595,27.6430,49.4593,0.6700,1.8251,0.0000
BER-NQ1,5.7350,40.1753,33.9512,10.4143,7.9409,0.0244,1.7589
BER-NQ2,11.8565,17.1819,27.5660,32.7729,2.5618,0.9343,7.1266
BET-PL,10.6233,0.7815,47.7520,40.5096,0.0000,0.3336,0.0000
BGB-LT,0.0781,0.9096,16.7726,80.0336,0.0000,2.2061,0.0000
BGY-BB,3.3426,0.5538,46.0914,49.6932,0.0000,0.3190,0.0000
BGY-BP2,7.6301,0.3242,43.6753,47.7714,0.0000,0.5991,0.0000
BGY-BPS,11.3194,0.0000,40.8731,39.7557,0.0000,8.0518,0.0000
BGY-CB,1.4189,1.1746,39.7871,56.7696,0.0000,0.8499,0.0000
BGY-LCH,14.2291,7.0062,41.5835,36.6943,0.0003,0.4865,0.0000
BGY-LCO,20.6544,0.7064,35.2185,43.3210,0.0000,0.0996,0.0000
BGY-LF,6.2966,4.8126,31.2360,57.0933,0.0001,0.5614,0.0000
BGY-MT,5.8708,0.7607,43.1587,49.8529,0.0000,0.3569,0.0000
BGY-TB,10.9816,1.0773,43.4304,44.1186,0.0000,0.3921,0.0000
BHD-VM,1.4340,6.9685,23.9906,67.4484,0.0000,0.1585,0.0000
BHN-BS,6.9488,4.5079,18.2769,70.2360,0.0000,0.0305,0.0000
BHN-QV,5.2361,0.8273,28.9220,64.7844,0.0000,0.2303,0.0000
BLR-BG,1.0171,17.6625,10.3494,54.4132,4.6798,5.2406,6.6374
BLR-FT,0.7791,18.3937,2.1278,70.7700,0.7965,7.1329,0.0000
BLR-LH,2.9627,11.2373,33.7825,49.3822,0.0002,2.6352,0.0000
BMO-BG,32.9043,8.5020,34.2093,23.8750,0.0001,0.5093,0.0000
BOV-BG,1.8313,0.7192,19.7243,77.4885,0.0000,0.2367,0.0000
BOV-LP,0.9595,13.9743,19.9950,61.3261,0.8992,2.8460,0.0000
BPC-LH,0.0706,37.5868,34.0864,22.9558,3.4724,1.6335,0.1945
BRC-LB,0.1182,6.8112,0.6240,92.4453,0.0000,0.0014,0.0000
BRG-LF,7.2618,25.2095,12.4659,42.5586,5.7239,4.9608,1.8195
BRG-ML,1.6600,16.0163,46.9707,34.8485,0.0001,0.5044,0.0000
BRL-BG,4.2749,1.0041,44.0031,48.1649,0.0000,2.5529,0.0000
BRL-BV,0.0028,17.3496,8.0443,64.7715,0.0000,9.8318,0.0000
BRL-RG,2.3178,19.1993,26.7647,46.7689,1.1123,3.8371,0.0000
BRM-LT,4.6950,12.8746,14.3784,62.8805,4.1682,0.5932,0.4102
BRO-KM,0.6136,15.8822,37.1029,41.5436,0.0001,4.8576,0.0000
BRO-LH,0.1270,18.4701,16.0440,63.7731,0.9649,0.6210,0.0000
BRO-VO,1.9754,16.2751,49.7877,30.8362,0.0003,1.1253,0.0000
BRO-VS,1.1029,14.2003,34.3132,48.6851,0.0002,1.6984,0.0000
BRT-LS,0.3612,7.9811,11.1655,77.1849,0.0000,3.3073,0.0000
BRU-GL,9.6188,17.2163,22.9093,38.0538,1.8630,2.0223,8.3165
BRU-VH,11.3106,31.6013,27.7443,24.5885,4.4791,0.0231,0.2531
BRV-HF,13.3810,5.6597,6.1518,74.8073,0.0000,0.0003,0.0000
BRZ-RH,3.2781,15.2726,10.4372,60.9691,2.7219,0.2146,7.1065
BZP-LC,2.7478,12.1396,57.4897,26.8357,0.0001,0.7871,0.0000
CAG-BG,13.1755,11.0801,27.7869,47.8202,0.0005,0.1368,0.0000
CAR-IC1,0.0101,6.1974,73.7901,17.3341,0.0000,2.6683,0.0000
CAR-IC2,9.4065,0.8901,53.5731,35.4071,0.0000,0.7232,0.0000
CAU-CL,0.1373,7.1765,33.5157,56.5375,0.0000,2.6330,0.0000
CAU-HE,0.0302,17.4746,5.4631,72.3762,0.8244,3.8315,0.0000
CAU-LR,2.3339,16.5820,26.4010,49.5134,3.4085,1.4717,0.2894
CAU-LV,0.1865,10.1362,50.3742,38.1781,0.0000,1.1249,0.0000
CES-CH,4.2507,8.2031,46.6947,40.0577,0.0000,0.7939,0.0000
CES-FG,0.0256,13.3395,11.5920,70.8184,0.0000,4.2245,0.0000
CES-NV,0.0027,0.0000,0.0000,99.9973,0.0000,0.0000,0.0000
CES-PT,4.7685,7.0135,5.4653,82.7127,0.0001,0.0399,0.0000
CHA-GB1,5.9941,0.8411,42.2998,49.3107,0.0000,1.5543,0.0000
CHA-GB2,2.0614,1.0735,18.5659,78.2207,0.0000,0.0785,0.0000
CHB-QM1,2.4350,0.4006,43.3609,52.2304,0.0000,1.5730,0.0000
CHB-QM2,11.4028,0.2969,51.7399,34.2003,0.0000,2.3602,0.0000
CHE-CH,1.0424,1.2529,23.1171,72.7159,0.0000,1.8718,0.0000
CHG-GE,1.6846,24.1185,20.8829,41.6728,5.0239,1.5225,5.0947
CHI-DL,4.0104,15.7530,10.1074,69.1958,0.9317,0.0018,0.0000
CHL-CR,0.7276,0.0000,11.8376,74.8951,0.0000,12.5397,0.0000
CHL-RT,1.7773,7.4893,18.6077,69.6571,0.0002,2.4684,0.0000
CHM-BG,63.6917,0.0000,0.1638,4.4568,0.0000,31.6876,0.0000
CHN-BG,0.7311,16.5800,19.2420,56.7585,0.0001,6.6883,0.0000
CHP-BG,0.0341,10.7768,0.3436,88.8344,0.0003,0.0108,0.0000
CHS-LM,0.0002,21.4571,0.0153,63.5343,5.6491,7.1924,2.1515
CHT-BB,0.0526,6.7899,19.2181,71.6740,0.0000,2.2655,0.0000
CHT-GB,1.6943,15.8496,27.9698,51.9039,0.6162,1.9662,0.0000
CHV-BC,2.3711,20.7891,15.3972,55.2491,4.2389,1.5811,0.3733
CIN-BG,15.5985,9.4062,22.0931,52.1871,0.7058,0.0093,0.0000
CIN-LB1,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
CIN-LB2,2.7679,0.1706,21.0371,75.0036,0.0000,1.0208,0.0000
CIN-LP,1.4391,7.9418,36.2212,49.0785,0.0000,5.3193,0.0000
CMB-LR,0.0295,13.1118,44.3038,42.1369,0.0000,0.4180,0.0000
CMP-LG,6.8257,0.0000,14.9847,76.0168,0.0000,2.1728,0.0000
CNI-LB,1.1479,0.7849,44.5108,51.7587,0.0000,1.7977,0.0000
