,l2 error,nb components,L1 relative error
AVERAGE,2.5065,4.4387,16.9027
ACG-LP,0.3809,3.0000,4.1346
ACG-RM,3.3329,8.0000,23.1206
AML-LY,1.0443,2.0000,6.9342
AML-PT,3.1478,8.0000,19.1516
AND-LN,2.5303,7.0000,16.5209
ARB-CH,1.1008,2.0000,7.9018
AUC-BF1,0.8698,3.0000,6.2091
AUC-BF2,0.3337,4.0000,1.8714
AUC-BF3,0.7688,2.0000,6.6708
AUC-BF4,1.0116,2.0000,7.7380
AVL-NS,1.2320,2.0000,9.0733
BAI-LB,1.0034,2.0000,7.4423
BAI-VL,0.5068,3.0000,4.8340
BAU-LM,6.5675,8.0000,42.3313
BBT-BG,0.9086,2.0000,6.7174
BBT-LG,1.0288,2.0000,9.4226
BED-BD,4.9894,10.0000,29.1810
BED-GR,1.1201,2.0000,7.9638
BED-LB1,1.1109,2.0000,7.8204
BED-LB10,1.0413,2.0000,7.4802
BED-LB11,2.3420,7.0000,14.9504
BED-LB12,10.1616,7.0000,72.0161
BED-LB13,1.0039,2.0000,8.2227
BED-LB14,1.2251,2.0000,8.9696
BED-LB2,1.0649,2.0000,7.4059
BED-LB3,1.3860,2.0000,10.1875
BED-LB4,1.1717,2.0000,8.1162
BED-LB5,3.0719,10.0000,18.5494
BED-LB6,1.0699,3.0000,7.2566
BED-LB7,1.1791,2.0000,8.7542
BED-LB8,4.2513,10.0000,26.9952
BED-LB9,1.1639,2.0000,8.1619
BED-LH,2.6943,10.0000,17.4717
BED-LR,0.9475,2.0000,6.7451
BED-LT1,1.2102,2.0000,8.6065
BED-LT2,1.1911,2.0000,8.5374
BED-MJ1,0.9316,2.0000,6.7446
BED-MJ2,1.1523,2.0000,9.2880
BER-GH,1.0753,2.0000,8.3058
BER-NQ1,0.5708,2.0000,4.8530
BER-NQ2,5.8000,7.0000,39.7954
BET-PL,2.9558,8.0000,17.9504
BGB-LT,1.2593,2.0000,9.2050
BGY-BB,1.0917,2.0000,7.8229
BGY-BP2,1.1580,2.0000,8.1888
BGY-BPS,3.2705,8.0000,21.3715
BGY-CB,1.0444,2.0000,7.7780
BGY-LCH,1.0931,2.0000,8.3745
BGY-LCO,1.2741,2.0000,9.1633
BGY-LF,0.9087,2.0000,6.3739
BGY-MT,0.9639,3.0000,6.9333
BGY-TB,2.5683,10.0000,16.7350
BHD-VM,1.1439,2.0000,8.3628
BHN-BS,1.1439,2.0000,8.3219
BHN-QV,1.2956,2.0000,9.3517
BLR-BG,2.2320,9.0000,17.1649
BLR-FT,1.3391,2.0000,10.7530
BLR-LH,3.1912,9.0000,20.5266
BMO-BG,2.0420,4.0000,11.6024
BOV-BG,0.4114,3.0000,4.0153
BOV-LP,1.1309,2.0000,8.3155
BPC-LH,1.0881,2.0000,7.2518
BRC-LB,1.0831,2.0000,7.1748
BRG-LF,2.6848,7.0000,20.8707
BRG-ML,11.3626,5.0000,74.4970
BRL-BG,5.3124,7.0000,30.9559
BRL-BV,3.2065,8.0000,23.2032
BRL-RG,10.7629,5.0000,74.5577
BRM-LT,3.0156,8.0000,20.7472
BRO-KM,2.2472,5.0000,13.7934
BRO-LH,11.0774,5.0000,72.1433
BRO-VO,0.7965,3.0000,6.0994
BRO-VS,2.5717,8.0000,18.4817
BRT-LS,0.4504,3.0000,4.3590
BRU-GL,2.5486,7.0000,18.4646
BRU-VH,2.2069,2.0000,15.3710
BRV-HF,8.0438,7.0000,43.4013
BRZ-RH,3.4514,7.0000,23.8656
BZP-LC,0.9127,2.0000,6.4653
CAG-BG,12.0646,5.0000,77.5401
CAR-IC1,0.9840,2.0000,6.7824
CAR-IC2,4.1402,9.0000,27.8425
CAU-CL,0.5187,3.0000,4.0659
CAU-HE,1.1785,2.0000,9.5713
