,l2 error,nb components,L1 relative error
AVERAGE,1.1947,3.8785,8.9151
ACG-LP,0.7801,4.0000,5.8392
ACG-RM,0.7001,4.0000,4.9110
AML-LY,1.3246,4.0000,9.2751
AML-PT,3.2388,4.0000,15.7748
AND-LN,2.0982,4.0000,16.1136
ARB-CH,0.6973,5.0000,6.4588
AUC-BF1,1.4655,4.0000,10.7012
AUC-BF2,1.5384,3.0000,10.7372
AUC-BF3,0.6566,5.0000,5.7088
AUC-BF4,1.2194,4.0000,8.7192
AVL-NS,0.7757,4.0000,6.1958
BAI-LB,0.6214,3.0000,5.1024
BAI-VL,1.0667,4.0000,8.1872
BAU-LM,1.2405,4.0000,9.0262
BBT-BG,1.1921,3.0000,8.9314
BBT-LG,1.3024,5.0000,11.9077
BED-BD,1.0048,3.0000,7.0269
BED-GR,0.9451,4.0000,8.5781
BED-LB1,0.9301,4.0000,8.3688
BED-LB10,1.3845,3.0000,8.8055
BED-LB11,0.7652,4.0000,5.3201
BED-LB12,0.9879,5.0000,6.6896
BED-LB13,0.8903,4.0000,6.1571
BED-LB14,1.5020,3.0000,9.8268
BED-LB2,0.7578,4.0000,7.0819
BED-LB3,0.8653,5.0000,7.3621
BED-LB4,1.0606,4.0000,9.4251
BED-LB5,0.8072,4.0000,7.4130
BED-LB6,1.2575,3.0000,7.9279
BED-LB7,1.0558,4.0000,9.1317
BED-LB8,1.6060,3.0000,10.2067
BED-LB9,0.6834,4.0000,5.0866
BED-LH,0.6892,5.0000,5.4794
BED-LR,0.7921,4.0000,5.1823
BED-LT1,1.2270,3.0000,8.0627
BED-LT2,0.9036,4.0000,5.8321
BED-MJ1,1.3964,3.0000,9.6518
BED-MJ2,0.6666,4.0000,5.3595
BER-GH,1.2094,4.0000,8.7367
BER-NQ1,0.5387,5.0000,4.9255
BER-NQ2,0.9677,4.0000,9.0188
BET-PL,0.9020,3.0000,5.9353
BGB-LT,1.4460,4.0000,11.9439
BGY-BB,0.9599,4.0000,8.0492
BGY-BP2,0.8381,4.0000,7.0465
BGY-BPS,1.4532,2.0000,9.6083
BGY-CB,0.8541,4.0000,7.3955
BGY-LCH,1.1731,3.0000,8.6321
BGY-LCO,0.7880,5.0000,6.9105
BGY-LF,0.7665,4.0000,5.3435
BGY-MT,0.8317,4.0000,6.4612
BGY-TB,1.2187,6.0000,9.6123
BHD-VM,0.6167,4.0000,6.3998
BHN-BS,1.0818,4.0000,8.4413
BHN-QV,1.1104,5.0000,9.7640
BLR-BG,1.7142,4.0000,14.0609
BLR-FT,0.8610,5.0000,8.2531
BLR-LH,1.5316,4.0000,10.9074
BMO-BG,1.2664,3.0000,9.7638
BOV-BG,1.5937,3.0000,12.7055
BOV-LP,1.4639,4.0000,10.1485
BPC-LH,1.4551,4.0000,8.9096
BRC-LB,0.8271,4.0000,6.0644
BRG-LF,0.5752,4.0000,4.8855
BRG-ML,1.5880,4.0000,10.9613
BRL-BG,1.2289,2.0000,8.0024
BRL-BV,1.8824,5.0000,17.0966
BRL-RG,1.3613,4.0000,10.3593
BRM-LT,0.8302,4.0000,6.3870
BRO-KM,2.1104,3.0000,14.8899
BRO-LH,0.7846,5.0000,6.5533
BRO-VO,1.5163,4.0000,11.6554
BRO-VS,1.6112,4.0000,11.7503
BRT-LS,1.6051,4.0000,13.2998
BRU-GL,1.2102,4.0000,10.2971
BRU-VH,1.0220,4.0000,7.9818
BRV-HF,0.6424,5.0000,5.7694
BRZ-RH,0.9588,4.0000,8.2822
BZP-LC,0.9369,4.0000,7.6100
CAG-BG,1.2405,6.0000,10.2359
CAR-IC1,1.0988,4.0000,8.1793
CAR-IC2,1.1725,3.0000,8.0228
CAU-CL,1.3699,3.0000,9.7038
CAU-HE,0.7234,4.0000,5.9844
CAU-LR,1.0980,4.0000,9.1621
CAU-LV,1.1083,3.0000,7.8550
CES-CH,0.9266,4.0000,6.4271
CES-FG,1.3475,3.0000,9.9816
CES-NV,1.7846,2.0000,10.9539
CES-PT,0.7031,5.0000,5.4775
CHA-GB1,0.7468,4.0000,5.8575
CHA-GB2,1.2830,4.0000,9.1991
CHB-QM1,1.0524,4.0000,9.3787
CHB-QM2,1.1584,2.0000,7.8599
CHE-CH,0.9515,4.0000,7.4979
CHG-GE,1.2887,4.0000,10.4866
CHI-DL,0.9012,4.0000,6.0518
CHL-CR,0.9355,4.0000,6.3488
